date,time 9:00,time 10:00,time 11:00,time 12:00,time 13:00,time 14:00,time 15:00,time 16:00,time 17:00
10/01/2023,available,not available,not available,available,not available,available,not available,available,not available
10/02/2023,not available,available,available,not available,available,available,available,available,not available
10/03/2023,available,not available,available,available,available,not available,available,available,available
10/04/2023,not available,available,not available,not available,not available,available,not available,available,available
10/05/2023,available,not available,not available,available,not available,not available,not available,available,available
10/06/2023,available,not available,not available,available,available,available,not available,not available,available
10/07/2023,available,available,available,available,not available,not available,not available,not available,not available
10/08/2023,not available,not available,available,not available,available,not available,not available,not available,available
10/09/2023,available,available,not available,available,not available,available,not available,not available,not available
10/10/2023,available,not available,available,available,available,available,not available,not available,available
10/11/2023,available,not available,not available,available,not available,available,available,not available,available
10/12/2023,available,available,not available,available,available,available,available,available,available
